Index Annotation Celltype Tissue Type Category
164 WI_38-DS14315.twopass.merge150.wgt10.zgt2.wig WI-38 embryonic_lung hotspots Hotspots
165 WI_38_TAM-DS14323.twopass.merge150.wgt10.zgt2.wig WI-38 embryonic_lung hotspots Hotspots
166 A549-all.fdr0.01.bed A549 epithelium peaks Peaks
167 Adult_Th0_AllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed Adult_CD4+ blood peaks Peaks
168 AG04449-DS12319.hotspot.twopass.fdr0.01.merge.pks.bed AG04449 skin peaks Peaks
169 AG04450-DS12270.hotspot.twopass.fdr0.01.merge.pks.bed AG04450 lung peaks Peaks
170 AG09309-DS12352.hotspot.twopass.fdr0.01.merge.pks.bed AG09309 skin peaks Peaks
171 AG09319-DS12291.hotspot.twopass.fdr0.01.merge.pks.bed AG09319 gingival peaks Peaks
172 AG10803-DS12384.hotspot.twopass.fdr0.01.merge.pks.bed AG10803 skin peaks Peaks
173 AoAF-DS13523.hotspot.twopass.fdr0.01.merge.pks.bed AoAF blood_vessel peaks Peaks
174 BE_2_C-DS14625.hotspot.twopass.fdr0.01.merge.pks.bed BE2_C brain peaks Peaks
175 BJ-DS10081.hotspot.twopass.fdr0.01.merge.pks.bed BJ skin peaks Peaks
176 CACO2-DS8235.hotspot.twopass.fdr0.01.merge.pks.bed Caco-2 colon peaks Peaks
177 CD20-DS17541.hg19.hotspot.twopass.fdr0.01.merge.pks.bed CD20+ blood peaks Peaks
178 CD34-DS16814.hg19.hotspot.twopass.fdr0.01.merge.pks.bed CD34+ blood peaks Peaks
179 CMK-DS12393.hotspot.twopass.fdr0.01.merge.pks.bed CMK blood peaks Peaks
180 E_myoblast_AllReps.30000000.hotspot.twopass.fdr0.01.merge.pks.bed E_myoblast muscle peaks Peaks
181 GM06990-DS7748.hotspot.twopass.fdr0.01.merge.pks.bed GM06990 blood peaks Peaks
182 GM12864-DS12431.hotspot.twopass.fdr0.01.merge.pks.bed GM12864 blood peaks Peaks
183 GM12865-DS12436.hotspot.twopass.fdr0.01.merge.pks.bed GM12865 blood peaks Peaks
184 GM12878-all.fdr0.01.bed GM12878 blood peaks Peaks
185 HAc-DS14765.hotspot.twopass.fdr0.01.merge.pks.bed HAc cerebellar peaks Peaks
186 HAEpiC-DS12663.hotspot.twopass.fdr0.01.merge.pks.bed HAEpiC epithelium peaks Peaks
